Location Name,Location Country,Location Code,Year Range,Number of years
Châteaudun,France,CHAT-M,1901-01-01 to 1920-12-31,20
Hamburg,Germany,HAMB-M,1901-01-01 to 1920-12-31,20
Jokioinen,Finland,JOKI-M,1901-01-01 to 1920-12-31,20
Kremsmünster,Austria,KREM-M,1901-01-01 to 1920-12-31,20
Okehampton,U.K.,OKEH-M,1901-01-01 to 1920-12-31,20
Piacenza,Italy,PIAC-M,1901-01-01 to 1920-12-31,20
Porto,Portugal,PORT-M,1901-01-01 to 1920-12-31,20
Sevilla,Spain,SEVI-M,1901-01-01 to 1920-12-31,20
Thiva,Greece,THIV-M,1901-01-01 to 1920-12-31,20
